공급일자,시간,경기도,경상권,서울,전라권,충청권
2023-01-03,22:00,366.17,128.62,333.37,34.19,272.25
2023-01-03,23:00,261.96,155.26,351.59,38.88,186.08
2023-01-03,00:00,259.57,107.5,288.28,42,289.29
2023-01-04,01:00,311.72,119.83,315.67,29.09,166.48
2023-01-04,02:00,195.22,114.55,371.56,29.55,228.92
2023-01-04,03:00,251.72,99.31,366.82,32.72,251.31
2023-01-04,04:00,244.04,98.64,295.9,44.74,179.1
2023-01-04,05:00,202.54,84.51,260.97,35.35,169.27
2023-01-04,06:00,168.9,101.49,268.05,31.59,151.14
2023-01-04,07:00,256.25,109.7,211.53,30.49,149.09
2023-01-04,08:00,216.3,157.5,272.2,41.28,240.2
2023-01-04,09:00,269.61,107.72,394.77,32.73,256.94
2023-01-04,10:00,256.69,131,383.64,25.63,194.49
2023-01-04,11:00,264.85,92.92,345.31,29.85,166.26
2023-01-04,12:00,260.71,49.34,201.34,23.27,188.62
2023-01-04,13:00,142.49,95.52,213.6,22.37,146.2
2023-01-04,14:00,142.5,65.31,160.14,20.47,105.49
2023-01-04,15:00,152.73,46.57,156.24,25.2,152.54
2023-01-04,16:00,218.95,78.17,218.51,21.22,126.08
2023-01-04,17:00,229.89,114.3,301.62,24.1,200.23
2023-01-04,18:00,211.39,99.12,215.53,26.77,149.74
2023-01-04,19:00,199.47,115.85,201.7,28.33,186.68
2023-01-04,20:00,257.17,135.73,264.73,28.5,241.31
2023-01-04,21:00,298.75,169.25,342.99,27.9,228.67
2023-01-04,22:00,306.22,172.63,322.65,35.93,188.91
2023-01-04,23:00,264.1,141.02,392.43,43.33,282.16
2023-01-04,00:00,237.73,172.35,357.69,43.78,220.03
2023-01-05,01:00,288.67,100.6,263.56,46.68,223.27
2023-01-05,02:00,286.9,114.38,290.71,42.7,216.5
2023-01-05,03:00,239.22,152.55,344.72,26.91,198.8
2023-01-05,04:00,216.89,121.34,303.58,28.33,195.53
2023-01-05,05:00,205,80.69,190.64,36.34,172.54
2023-01-05,06:00,250.45,137.36,289.49,23.05,173.59
2023-01-05,07:00,195.31,95.6,272.02,29.5,229.32
2023-01-05,08:00,258.85,127.42,299.12,32.69,254.07
2023-01-05,09:00,338.12,133.4,316.18,31.47,277.92
2023-01-05,10:00,203,122.91,238.72,29.39,210.26
2023-01-05,11:00,215.52,75.21,237.05,32.27,237.11
2023-01-05,12:00,233.73,63.94,298.14,29.17,206.97
2023-01-05,13:00,261.05,92.92,307.6,32.6,177.57
2023-01-05,14:00,253.85,71.78,268.27,6.66,161.52
2023-01-05,15:00,194.07,34.97,284.96,18.36,94.52
2023-01-05,16:00,174.45,102.65,234.23,23.46,101.68
2023-01-05,17:00,187.34,50.22,214.56,23.53,199.49
2023-01-05,18:00,263.55,100.4,328.18,13.66,197.37
2023-01-05,19:00,297.82,154,206.13,27.98,196.33
2023-01-05,20:00,211.5,117.94,282.58,34.7,204.81
2023-01-05,21:00,268.67,153.91,345.24,30.35,201.29
2023-01-05,22:00,286.16,128.51,254.94,42.76,253.39
2023-01-05,23:00,345.25,118.04,373.06,39.66,212.28
2023-01-05,00:00,261.51,94.2,280.78,35.94,185.11
2023-01-06,01:00,220.63,110.95,229.28,43.43,175.82
2023-01-06,02:00,233.31,143.66,291.78,34.92,167.28
2023-01-06,03:00,236.64,88.61,242.87,32.85,229.92
2023-01-06,04:00,236.38,109.81,174.83,28.64,199.42
2023-01-06,05:00,225.2,78.7,304.08,39.9,139.92
2023-01-06,06:00,292.65,103.24,358.62,23.46,236
2023-01-06,07:00,306.99,110.12,330.37,26.24,164.03
2023-01-06,08:00,239.98,114.52,307.02,41.76,173.31
2023-01-06,09:00,240.5,106.74,315.87,31.03,273.99
2023-01-06,10:00,292.84,96.99,305.16,24.25,175.17
2023-01-06,11:00,272.42,74.24,216.7,24.98,164.9
2023-01-06,12:00,172.94,94.38,298.94,28.8,112.32
2023-01-06,13:00,118.04,93.59,218.67,18.71,116.87
2023-01-06,14:00,218.03,105.88,169.04,11.47,83.81
2023-01-06,15:00,188.86,41.75,256.16,9.56,96.06
2023-01-06,16:00,211.58,68.77,178.21,13.11,171.28
2023-01-06,17:00,160.64,74.9,137.42,12.08,127.52
2023-01-06,18:00,261.45,66.51,150,30.59,214.58
2023-01-06,19:00,239.79,157.48,197.7,26.03,248.35
2023-01-06,20:00,249.75,141.65,247.35,30.9,184.88
2023-01-06,21:00,276.55,177.1,255.22,27.94,161.97
2023-01-06,22:00,207.26,111.77,380.74,27,193.21
2023-01-06,23:00,263.56,160.22,330.55,32.01,201.35
2023-01-06,00:00,254.7,164.3,231.22,34.31,193.83
2023-01-07,01:00,234.97,139.39,277.2,37.28,186.45
2023-01-07,02:00,155.12,74.03,264.99,23.97,155.21
2023-01-07,03:00,194.52,127.85,144.17,27.67,192.46
2023-01-07,04:00,146.01,136.44,252.77,35.27,150.93
2023-01-07,05:00,212.19,101.55,295.57,38.39,153.52
2023-01-07,06:00,216.86,125.96,274.67,30.31,132.34
2023-01-07,07:00,136.42,102.73,287.42,38.25,109.46
2023-01-07,08:00,236.82,75.52,255.91,34.91,220.9
2023-01-07,09:00,162.28,87.14,263.73,17.18,190.77
2023-01-07,10:00,208.04,125.61,221.51,21.5,198.52
2023-01-07,11:00,210.94,85.7,235.44,10.18,202.14
2023-01-07,12:00,271.15,80.48,321.49,11.39,134.22
2023-01-07,13:00,240.76,94.12,279.5,11.38,95.72
2023-01-07,14:00,132.07,73.5,167.89,16.72,59.49
2023-01-07,15:00,127.13,73.57,281.16,2.78,104.08
2023-01-07,16:00,190.8,41.37,216.07,15.72,128.04
2023-01-07,17:00,206.5,113.68,264.82,5.89,90.88
2023-01-07,18:00,210.52,120.65,164.49,9.35,213.1
2023-01-07,19:00,254.32,100.25,178.36,29.92,164.86
2023-01-07,20:00,168.97,118.96,316.53,39.25,161.19
2023-01-07,21:00,287,121.32,296.51,37.42,190.09
2023-01-07,22:00,298.27,115.07,242.05,43.72,199.48
2023-01-07,23:00,314.41,106.87,196.88,35.32,237.77
2023-01-07,00:00,167.87,132.71,357.41,43.87,205.84
2023-01-08,01:00,155.37,106.18,230.17,25.54,142.57
2023-01-08,02:00,232.25,85.5,248.54,28.61,220.76
2023-01-08,03:00,154.37,126.5,249.86,25.34,211.16
2023-01-08,04:00,199.32,127.31,186.54,31.24,232.46
2023-01-08,05:00,240.49,101.71,274,28.42,179.15
2023-01-08,06:00,168.25,111.19,165.6,37.42,146.01
2023-01-08,07:00,208.33,135.96,272.06,40.37,189.35
2023-01-08,08:00,272.81,94.14,319.33,40.82,139.85
2023-01-08,09:00,262.03,137.62,270.92,29.58,226.97
2023-01-08,10:00,241.96,82.39,175.96,27.12,163.98
2023-01-08,11:00,135.89,68.25,161.04,27.02,188.1
2023-01-08,12:00,201.06,117.02,271.69,17.47,148.65
2023-01-08,13:00,99.94,102.02,153.43,22.15,99.94
2023-01-08,14:00,87.7,50.58,129.79,25.14,83.17
2023-01-08,15:00,145.8,68.17,228.99,12.09,119.73
2023-01-08,16:00,209.76,63.41,126.27,13.44,74.28
2023-01-08,17:00,152.27,83.93,123.38,15.02,70.36
2023-01-08,18:00,198.77,110.17,219.02,6.67,159.22
2023-01-08,19:00,216.93,110.5,207.03,28.27,198.22
2023-01-08,20:00,262.32,121.75,261.23,25.5,237.6
2023-01-08,21:00,175.53,119.98,240.59,22.79,170.7
2023-01-08,22:00,264.02,150.28,285.59,23.61,192.74
2023-01-08,23:00,193.31,129.12,244.85,34.64,209.28
2023-01-08,00:00,184.74,108.75,288.57,24.05,153.49
2023-01-09,01:00,253.29,143.12,305.75,36.4,151.44
2023-01-09,02:00,184.3,94.92,173.04,25.74,133.76
2023-01-09,03:00,252.33,74.74,252.95,25.99,168.32
2023-01-09,04:00,209.27,77.87,280.18,40.4,183.75
2023-01-09,05:00,223.15,92.68,239.32,23.95,150.07
2023-01-09,06:00,129.85,121.86,270.81,36.22,132.24
2023-01-09,07:00,191.69,143.34,316.76,31.37,201.8
2023-01-09,08:00,157.51,116.88,229.36,26.63,158.93
2023-01-09,09:00,163.26,133.03,261.42,21.22,191.99
2023-01-09,10:00,218.43,78.43,203.61,27.45,149.79
2023-01-09,11:00,202.96,113.71,195.55,30.55,200.95
2023-01-09,12:00,148.2,78.43,159.96,19.56,168.43
2023-01-09,13:00,186.85,42.84,230.78,31.01,144.63
2023-01-09,14:00,203.55,53.22,268.14,24.64,90.28
2023-01-09,15:00,69.55,27.65,107.22,14.27,128.59
2023-01-09,16:00,205.25,61.64,228.6,22.17,101.43
2023-01-09,17:00,202.57,73.55,199.88,18.85,108.38
2023-01-09,18:00,206.08,78.3,237.81,19.65,112.43
2023-01-09,19:00,160.56,112.51,202.27,21.53,214.16
2023-01-09,20:00,207.5,104.59,211.3,34.65,238.63
2023-01-09,21:00,306.5,149.43,317.98,44.01,151.88
2023-01-09,22:00,272.07,131.11,248.85,37.76,185.46
2023-01-09,23:00,221.37,166.15,272.67,48.59,199.26
2023-01-09,00:00,274.97,112.77,224.79,32.55,226.16
2023-01-10,01:00,145.15,115.83,277.18,37.29,162.89
2023-01-10,02:00,216.66,119.51,178.34,40.77,200.95
2023-01-10,03:00,198.2,118.92,153.94,35.84,126.95
2023-01-10,04:00,145.21,135.54,311.97,40.82,189.44
2023-01-10,05:00,242.31,120.66,251.67,27.58,209.98
2023-01-10,06:00,251.27,133.51,310.12,32.92,184.13
2023-01-10,07:00,182.38,103.26,324.44,33.45,192.83
2023-01-10,08:00,181.61,117.3,315.51,42.55,207.65
2023-01-10,09:00,290.85,83.94,290.57,45.17,191.68
2023-01-10,10:00,168.35,51.54,261.61,28.94,134.8
2023-01-10,11:00,214.67,35.38,280.77,19.67,184.5
2023-01-10,12:00,184.76,52.62,241.31,15.95,101.55
2023-01-10,13:00,160.41,32.26,108.28,15.82,127.23
2023-01-10,14:00,184.19,93.31,157.06,19.03,58.74
2023-01-10,15:00,126.24,67.59,244.6,15.04,142.96
2023-01-10,16:00,122.44,82.37,166.64,7.32,149.7
2023-01-10,17:00,192.61,66.03,154.45,8.16,146.27
2023-01-10,18:00,169.98,57.65,250.33,18.36,159.6
2023-01-10,19:00,235.06,139.6,322.35,21.8,193.04
2023-01-10,20:00,161.28,92.93,304.19,19.23,218.55
2023-01-10,21:00,282.4,159.75,199.17,27.37,178.68
2023-01-10,22:00,228.35,161.1,234.33,27.42,140.23
2023-01-10,23:00,217.92,141.37,318.83,41.96,244.41
2023-01-10,00:00,244.9,94.37,250.69,28.48,131.37
2023-01-11,01:00,145.77,102.17,216.04,24.32,216.52
2023-01-11,02:00,223.88,105.1,192.62,23.62,138.35
2023-01-11,03:00,213.84,75.33,158.97,38.52,128.47
2023-01-11,04:00,160.83,98.95,268.72,26.28,144.05
2023-01-11,05:00,180.02,68.03,191.43,21.66,189.78
2023-01-11,06:00,162.17,138.69,179.1,27.63,141.99
2023-01-11,07:00,207.2,83.9,321.12,35.45,179.75
2023-01-11,08:00,191.53,113.33,247.31,39.27,258.99
2023-01-11,09:00,177.09,105.16,187.4,28.52,204.94
2023-01-11,10:00,149.9,126.67,239.48,29.35,136.37
2023-01-11,11:00,206.05,46.64,227.3,21.57,92.88
2023-01-11,12:00,96.97,87.65,219.25,20.02,160.16
2023-01-11,13:00,108.52,76.18,177.87,16.49,145.65
2023-01-11,14:00,81.38,41.55,131.58,8.1,142.99
2023-01-11,15:00,108.71,56.64,125.07,18.56,109.97
2023-01-11,16:00,151.62,58.79,238.45,22.65,129.55
2023-01-11,17:00,148.99,54.1,120.93,15.82,148.07
2023-01-11,18:00,177,81.75,227.23,9.03,175.71
2023-01-11,19:00,143.57,72.95,209.78,27.39,118.15
2023-01-11,20:00,195.88,110.7,230.24,18.55,232.06
2023-01-11,21:00,177.47,101.62,251.42,33.35,189.71
2023-01-11,22:00,185.89,109.89,302.58,30.67,146.51
2023-01-11,23:00,279.76,110.15,253.66,31.6,202.84
2023-01-11,00:00,174.53,85.46,300.91,29.34,235.38
2023-01-12,01:00,273.51,109.51,141.72,22.96,216.46
2023-01-12,02:00,235.98,128.62,161.42,29.72,190.96
2023-01-12,03:00,190.66,127.7,305.21,20.71,172
2023-01-12,04:00,218.81,66.82,191.28,25.87,211.11
2023-01-12,05:00,170.56,83.34,221.73,26.95,118.91
2023-01-12,06:00,135.88,103.26,277.39,31.83,199.12
2023-01-12,07:00,156.02,98.09,249.88,46.4,167.56
2023-01-12,08:00,273.63,102.88,316.96,33.03,209.46
2023-01-12,09:00,196.46,140.06,283.57,8.26,232.83
2023-01-12,10:00,227.82,106.58,268.45,14.11,187.28
2023-01-12,11:00,111.95,89.44,218.12,16.9,149.59
2023-01-12,12:00,183.28,85.99,197.17,0.98,172.82
2023-01-12,13:00,124.61,62.53,163.42,2.64,71.14
2023-01-12,14:00,86.4,35.92,226.13,12.37,63.83
2023-01-12,15:00,176.73,34.98,125.37,7.69,99.58
2023-01-12,16:00,137.14,39.23,74.34,11.29,47.16
2023-01-12,17:00,104.47,27.22,71.61,16.75,128.2
2023-01-12,18:00,134.69,89.6,138.4,13,108.92
2023-01-12,19:00,207.26,64.46,132.36,16.44,125.18
2023-01-12,20:00,189.81,123.56,190.72,29.04,176.48
2023-01-12,21:00,238.67,133.01,219.04,34.54,148.6
2023-01-12,22:00,241.06,126.35,184.46,37.73,211.81
2023-01-12,23:00,257.25,76.29,291.76,36.22,214.8
2023-01-12,00:00,143.24,84.18,211.37,22.19,143.84
2023-01-13,01:00,134.45,58.45,257.54,11.15,138.7
2023-01-13,02:00,204.61,50.52,287.28,21.38,105.79
2023-01-13,03:00,105.92,58.47,220.07,16.23,76.22
2023-01-13,04:00,174.5,95.31,240.69,27.11,166.94
2023-01-13,05:00,83.34,55.51,206.91,30.4,110.58
2023-01-13,06:00,122.78,94.72,199.11,24.29,154.06
2023-01-13,07:00,204.15,113.03,250.41,21.66,153.42
2023-01-13,08:00,246.4,104.96,277.32,23.76,127.27
2023-01-13,09:00,137.26,118.57,154.22,22.7,130.15
2023-01-13,10:00,181.41,112.41,217.81,17.74,193.06
2023-01-13,11:00,105.02,75.2,267.22,23.81,113.18
2023-01-13,12:00,127.89,89.3,227.06,24.45,162.82
2023-01-13,13:00,217.92,84.18,106.91,15.57,67.41
2023-01-13,14:00,134.2,87.98,193.41,16.37,73.15
2023-01-13,15:00,203.82,61.08,184.76,12.31,164.29
2023-01-13,16:00,153.31,56.1,185.36,8.97,149.03
2023-01-13,17:00,112.73,83.85,195.83,24.85,159.27
2023-01-13,18:00,155.25,37.87,115.67,19.58,169.86
2023-01-13,19:00,147.13,66.51,260.28,19.78,163.36
2023-01-13,20:00,153.12,63.15,196.51,31.3,107.79
2023-01-13,21:00,199.97,102.26,246.41,30.81,153.13
2023-01-13,22:00,184.79,124.05,198.83,16.77,187.5
2023-01-13,23:00,171.78,96.03,202.37,16.55,148.45
2023-01-13,00:00,184.23,53.14,232.98,26.47,156.01
2023-01-14,01:00,100.54,53.25,220.06,25.06,116.99
2023-01-14,02:00,97.55,75.9,201.53,21.88,161.11
2023-01-14,03:00,153.82,42.57,231.11,22.8,133.09
2023-01-14,04:00,90.6,101.72,91.9,24.77,130.04
2023-01-14,05:00,155.82,56.04,233.05,18.71,154.43
2023-01-14,06:00,89.87,55.95,97.54,14.53,87.11
2023-01-14,07:00,126.23,73.3,143.64,29.64,100.71
2023-01-14,08:00,138.14,105.4,123.33,26.4,176.56
2023-01-14,09:00,223.28,92.14,168.17,21.96,125.74
2023-01-14,10:00,189.56,86.14,107.25,20.49,120.48
2023-01-14,11:00,176.08,70.95,255.06,23.26,96.17
2023-01-14,12:00,139,102.3,218.48,27.54,136.1
2023-01-14,13:00,93.45,34.49,213.89,19.37,100.05
2023-01-14,14:00,194.76,93.01,112.27,14.27,73.59
2023-01-14,15:00,84.56,31.63,110.44,23.48,156.62
2023-01-14,16:00,156.48,32.7,146.91,10.4,156.17
2023-01-14,17:00,191.26,102.81,147.26,15.38,168.23
2023-01-14,18:00,229.46,70.48,210.9,16.29,165.95
2023-01-14,19:00,239.13,68.95,184.49,25.33,167.22
2023-01-14,20:00,138.68,99.51,283.03,24.93,163.02
2023-01-14,21:00,244.47,127.81,318.39,32.44,175.82
2023-01-14,22:00,189.61,147.46,261.72,30.04,128.18
2023-01-14,23:00,186.37,103.36,298.7,26.14,176.02
2023-01-14,00:00,203.62,97.13,289.04,27.41,194.93
2023-01-15,01:00,132.27,94.46,270.53,20.31,168.64
2023-01-15,02:00,241.48,90.91,274.11,27.48,180.12
2023-01-15,03:00,143.5,101.16,289.08,23.22,81.77
2023-01-15,04:00,137.37,49.78,178.84,16.24,71.45
2023-01-15,05:00,200.09,85.48,204.33,22.42,87.49
2023-01-15,06:00,185.06,47.43,260.8,19.48,131.67
2023-01-15,07:00,128.77,84.68,235.32,26.39,100.35
2023-01-15,08:00,170.35,46.52,265.7,16.19,190.22
2023-01-15,09:00,180.3,53.31,177.24,29.3,110.74
2023-01-15,10:00,271.73,83.61,293.61,19.89,173.13
2023-01-15,11:00,179.91,67.85,224.44,27.86,141.22
2023-01-15,12:00,181.3,70.25,154.8,22.25,193.5
2023-01-15,13:00,242.51,39.54,286.7,31.79,125.07
2023-01-15,14:00,158.58,100.96,176.14,16.38,141.01
2023-01-15,15:00,138.8,106.27,328.82,28.47,197.64
2023-01-15,16:00,205.89,116.78,228.55,33.91,168.51
2023-01-15,17:00,240.19,72.19,294.46,29.96,111.1
2023-01-15,18:00,176.95,61.56,335.95,31.75,196.69
2023-01-15,19:00,274.73,149.62,239.38,28.75,189.55
2023-01-15,20:00,260.4,130.83,212.34,35.76,260.46
2023-01-15,21:00,221.82,115.55,329.55,40.82,154.27
2023-01-15,22:00,242.61,110.2,330.18,27.65,229.41
2023-01-15,23:00,277.24,155.37,294.19,23.19,221.19
2023-01-15,00:00,264.36,137.21,241.36,31.41,152.25
2023-01-16,01:00,275.81,143.6,246.64,28.64,128.16
2023-01-16,02:00,230.64,79.02,240.57,24.54,232.81
2023-01-16,03:00,262.47,76.72,262.17,25.68,192.91
2023-01-16,04:00,149.91,116.35,264.8,26.53,199.65
2023-01-16,05:00,134.89,127.64,266.04,22.46,183.94
2023-01-16,06:00,230.58,104.27,217.39,25.54,140.15
2023-01-16,07:00,289.7,145.03,247.67,31.01,227.95
2023-01-16,08:00,184.98,90.27,279.87,27.93,242.88
2023-01-16,09:00,246.76,105.25,285.13,33.73,226.31
2023-01-16,10:00,228.1,71.83,296.78,23.78,213.46
2023-01-16,11:00,165.85,84.7,287.91,26.27,203.16
2023-01-16,12:00,165.42,76.61,207.48,19.4,104.61
2023-01-16,13:00,214.89,47.8,273.17,18.77,81.41
2023-01-16,14:00,231.48,32.47,149.35,15.07,99.91
2023-01-16,15:00,133.16,101.84,294.52,20.19,151.31
2023-01-16,16:00,220.92,47.83,287.91,21.57,171.15
2023-01-16,17:00,206.76,67.27,250.62,27.34,111.52
2023-01-16,18:00,194.01,61.44,180.65,22.15,148.55
2023-01-16,19:00,205.42,112.39,298.52,33.83,211.93
2023-01-16,20:00,322.47,125.32,361.15,27.65,165.72
2023-01-16,21:00,279.15,120.44,339.83,33.9,238.31
2023-01-16,22:00,268.01,145.45,396.73,39.01,283.6
2023-01-16,23:00,263.71,109.11,292.84,43.05,199.54
2023-01-16,00:00,208.99,99.51,344.18,42.8,276.92
2023-01-17,01:00,180.9,85.4,235.64,27.69,163.35
2023-01-17,02:00,188.44,105.22,360.75,38.51,228.71
2023-01-17,03:00,248.42,83.83,316.99,38.23,221.5
2023-01-17,04:00,166.48,98.29,241.93,38.13,134.73
2023-01-17,05:00,165.41,98.15,231.55,22.87,155.7
2023-01-17,06:00,282.9,114.8,309.32,22.08,176.65
2023-01-17,07:00,198.96,124.53,216.23,14.88,184.39
2023-01-17,08:00,229.13,151.14,378.07,29.93,205.32
2023-01-17,09:00,202.67,144.3,369.45,45.44,183.76
2023-01-17,10:00,275.77,101.58,318.82,16.32,179.71
2023-01-17,11:00,219.47,81.43,248.85,26.92,215.56
2023-01-17,12:00,239.5,48.85,301.62,30.39,187.98
2023-01-17,13:00,266.14,66.69,215.41,24.28,101.25
2023-01-17,14:00,127.77,54.34,191.33,21.5,74.36
2023-01-17,15:00,201.55,77.69,166.1,16.94,156.23
2023-01-17,16:00,206.95,58.67,190.81,25.13,83.74
2023-01-17,17:00,209.04,94.2,217.79,23.35,126.84
2023-01-17,18:00,229.39,113.39,320.53,19.26,172.97
2023-01-17,19:00,271.79,142.77,267.27,32.3,250.69
2023-01-17,20:00,282.18,126.89,300.88,22.75,183.84
2023-01-17,21:00,277.78,175.88,388.59,34.59,261.72
2023-01-17,22:00,285.42,168.36,365.2,65.55,249.46
2023-01-17,23:00,292.82,160.22,348.88,35.3,220.44
2023-01-17,00:00,219.65,176.82,388.11,33.47,251.46
2023-01-18,01:00,188.84,139.51,188.25,31.69,187.17
2023-01-18,02:00,287.64,100.59,280.3,25.47,239.06
2023-01-18,03:00,273.26,123,203.62,37.16,168.97
2023-01-18,04:00,215.72,139.01,195.82,27.53,213.16
2023-01-18,05:00,183.85,96.78,241.4,24.51,158.17
2023-01-18,06:00,267.76,117.59,296.37,35.52,124.53
2023-01-18,07:00,180.37,109.56,327.84,31.84,170.17
2023-01-18,08:00,286.47,97.49,357.57,37.64,147.52
2023-01-18,09:00,270.72,139.76,241.85,46.95,180.83
2023-01-18,10:00,261.99,79,315.59,30.9,194.61
2023-01-18,11:00,149.19,72.57,200.45,29.64,196.43
2023-01-18,12:00,257.84,94.75,224.19,19.97,132.92
2023-01-18,13:00,130.17,75.33,274.53,18.89,173.68
2023-01-18,14:00,237.04,78.33,197.54,15.29,125.04
2023-01-18,15:00,168.02,51.36,258.48,27.03,149.09
2023-01-18,16:00,121.65,67.08,240.83,21.56,88.13
2023-01-18,17:00,200.78,113.89,204.83,23.22,144.15
2023-01-18,18:00,206.32,144.16,311.12,33.31,178.01
2023-01-18,19:00,178.81,151.24,209.28,29.26,167.66
2023-01-18,20:00,255.35,143.57,246.98,38.08,227.78
2023-01-18,21:00,331.46,149.69,236.28,29.86,265.56
2023-01-18,22:00,335.88,124.52,264.6,26.23,217.96
2023-01-18,23:00,282.39,143.39,260.08,39.38,232.55
2023-01-18,00:00,246.94,155.95,374.52,33.34,223.06
2023-01-19,01:00,188.42,125.2,254.13,37.07,227.71
2023-01-19,02:00,259.76,91.54,314.6,32.58,154
2023-01-19,03:00,198.75,80.03,235.11,28.37,169.11
2023-01-19,04:00,271.53,96.35,307.58,24.6,181.4
2023-01-19,05:00,236.47,85.29,302.14,36.16,146.56
2023-01-19,06:00,250.81,109.11,231.09,35.2,214.12
2023-01-19,07:00,233.92,137.63,264.91,32.11,199.41
2023-01-19,08:00,211.86,156.02,341.93,30.99,152.82
2023-01-19,09:00,322.32,101.02,331.62,37.38,234.79
2023-01-19,10:00,219.82,115.58,189.63,33.28,193.39
2023-01-19,11:00,218.48,93.06,327.58,20.9,138.05
2023-01-19,12:00,225.24,53.72,188.1,14.15,81.2
2023-01-19,13:00,122.34,49.98,234.45,14.92,152.5
2023-01-19,14:00,209.18,76.16,223.46,13.07,99.39
2023-01-19,15:00,157.76,62.06,266.33,16.16,150.93
2023-01-19,16:00,109.11,75.56,286.13,20.07,139.91
2023-01-19,17:00,183.78,89.8,149.87,26.89,190.14
2023-01-19,18:00,208.33,109.07,258.11,29.38,199.87
2023-01-19,19:00,189.81,114.9,331.23,25.3,152.84
