dateKind,dateName,isHoliday,locdate,seq
1,부처님오신날,Y,20190512,1
1,현충일,Y,20190606,1
1,광복절,Y,20190815,1
1,추석,Y,20190912,1
1,추석,Y,20190913,1
1,추석,Y,20190914,1
1,개천절,Y,20191003,1
1,한글날,Y,20191009,1
1,기독탄신일,Y,20191225,1
1,1월1일,Y,20200101,1
1,설날,Y,20200124,1
1,설날,Y,20200125,1
1,설날,Y,20200126,1
1,설날,Y,20200127,1
1,삼일절,Y,20200301,1
1,제21대 국회의원선거,Y,20200415,1
1,부처님오신날,Y,20200430,1
1,어린이날,Y,20200505,1
1,현충일,Y,20200606,1
1,광복절,Y,20200815,1
1,임시공휴일,Y,20200817,1
1,추석,Y,20200930,1
1,추석,Y,20201001,1
1,추석,Y,20201002,1
1,개천절,Y,20201003,1
1,한글날,Y,20201009,1
1,기독탄신일,Y,20201225,1
1,1월1일,Y,20210101,1
1,설날,Y,20210211,1
1,설날,Y,20210212,1
1,설날,Y,20210213,1
1,삼일절,Y,20210301,1
1,어린이날,Y,20210505,1
1,부처님오신날,Y,20210519,1
1,현충일,Y,20210606,1
1,광복절,Y,20210815,1
1,대체공휴일,Y,20210816,1
1,추석,Y,20210920,1
1,추석,Y,20210921,1
1,추석,Y,20210922,1
1,개천절,Y,20211003,1
1,대체공휴일,Y,20211004,1
1,한글날,Y,20211009,1
1,대체공휴일,Y,20211011,1
1,기독탄신일,Y,20211225,1
1,1월1일,Y,20220101,1
1,설날,Y,20220131,1
1,설날,Y,20220201,1
1,설날,Y,20220202,1
1,삼일절,Y,20220301,1
1,대통령선거일,Y,20220309,1
1,어린이날,Y,20220505,1
1,부처님오신날,Y,20220508,1
1,전국동시지방선거,Y,20220601,1
1,현충일,Y,20220606,1
1,광복절,Y,20220815,1
1,추석,Y,20220909,1
1,추석,Y,20220910,1
1,추석,Y,20220911,1
1,대체공휴일,Y,20220912,1
1,개천절,Y,20221003,1
1,한글날,Y,20221009,1
1,대체공휴일,Y,20221010,3
1,기독탄신일,Y,20221225,1
1,1월1일,Y,20230101,1
1,설날,Y,20230121,1
1,설날,Y,20230122,1
1,설날,Y,20230123,1
1,대체공휴일,Y,20230124,1
1,삼일절,Y,20230301,1
1,어린이날,Y,20230505,1
1,부처님오신날,Y,20230527,1
1,대체공휴일,Y,20230529,1
1,현충일,Y,20230606,1
1,광복절,Y,20230815,1
1,추석,Y,20230928,1
1,추석,Y,20230929,1
1,추석,Y,20230930,1
1,임시공휴일,Y,20231002,2
1,개천절,Y,20231003,1
1,한글날,Y,20231009,1
1,기독탄신일,Y,20231225,1
